gvkey,company_name,sector,sector_name,BM_ratio,BM_sector_rank,BM_sector_percentile,sector_threshold_bm,market_cap,price,eps,book_equity,dividend_yield_ttm,dlcq,dlttq,cheq,atq,cshoq,data_source
9248,ROSS STORES INC,25.0,Consumer_Discretionary,0.11128318809376074,369.0,90.0,1.8251908170258395,49506.08528,150.56,1.8,5509.195,0.009763549415515408,1403.068,4279.361,4747.831,14905.332,328.813,Q1 Only
161844,LAS VEGAS SANDS CORP,25.0,Consumer_Discretionary,0.11105248685439527,370.0,90.2439024390244,1.8251908170258395,27311.410000000003,38.63,0.49,3033.0,0.02200362412632669,2994.0,10857.0,3036.0,21247.0,707.0,Q1 Only
38092,COUPANG INC,25.0,Consumer_Discretionary,0.1109835061551937,371.0,90.48780487804878,1.8251908170258395,39627.51,21.93,0.06,4398.0,0.0,1000.0,3080.0,6199.0,15986.0,1807.0,Q1 Only
37420,DOORDASH INC,25.0,Consumer_Discretionary,0.1084256804701972,372.0,90.73170731707317,1.8251908170258395,77426.30679,182.77,0.46,8395.0,0.0,70.0,457.0,6019.0,13572.0,423.627,Q1 Only
126296,EXPEDIA GROUP INC,25.0,Consumer_Discretionary,0.1080862167380676,373.0,90.97560975609757,1.8251908170258395,21473.598299999998,168.1,-1.56,2321.0,0.002379535990481856,1746.0,4721.0,8145.0,26114.0,127.743,Q1 Only
37460,AIRBNB INC,25.0,Consumer_Discretionary,0.10733545975738427,374.0,91.21951219512195,1.8251908170258395,73945.73999999999,119.46,0.25,7937.0,0.0,2057.0,223.0,11532.0,25056.0,619.0,Q1 Only
43859,HIGH ROLLER TECHNOLOGIES INC,25.0,Consumer_Discretionary,0.10517225194780813,375.0,91.46341463414635,1.8251908170258395,26.6325,3.18,-0.39,2.801,0.0,0.206,0.713,4.533,12.82,8.375,Q1 Only
61420,POOL CORP,25.0,Consumer_Discretionary,0.10331843336187882,376.0,91.70731707317074,1.8251908170258395,11989.061,318.35,1.42,1238.6910000000003,0.015077744620700485,157.756,1189.322,71.644,3712.449,37.66,Q1 Only
39483,DUTCH BROS INC,25.0,Consumer_Discretionary,0.1030379123339029,377.0,91.95121951219512,1.8251908170258395,7728.242760000001,61.74,0.13,796.3019999999999,0.0,51.259,969.934,316.441,2765.22,125.174,Q1 Only
140541,TAPESTRY INC,25.0,Consumer_Discretionary,0.10214605874376213,378.0,92.19512195121952,1.8251908170258395,14624.157,70.41,0.98,1493.8000000000002,0.019883539269990057,600.5,3507.2,1057.0,7306.2,207.7,Q1 Only
31846,DARDEN RESTAURANTS INC,25.0,Consumer_Discretionary,0.09384904898068346,379.0,92.4390243902439,1.8251908170258395,23473.865999999998,200.46,2.76,2203.0,0.027486780405068342,282.9,7555.3,238.7,12560.9,117.1,Q1 Only
184996,TESLA INC,25.0,Consumer_Discretionary,0.09037559473080252,380.0,92.6829268292683,1.8251908170258395,834495.2000000001,259.16,0.13,75418.0,0.0,3079.0,10049.0,37411.0,125111.0,3220.0,Q1 Only
178015,LULULEMON ATHLETICA INC,25.0,Consumer_Discretionary,0.08607637346997028,381.0,92.92682926829269,1.8251908170258395,50235.0044,414.2,6.15,4324.0470000000005,0.0,275.154,1300.637,1984.336,7603.292,121.282,Q1 Only
10991,LIGHT & WONDER INC,25.0,Consumer_Discretionary,0.084217961517825,382.0,93.17073170731707,1.8251908170258395,7361.85,86.61,0.97,620.0,0.0,40.0,3913.0,262.0,5455.0,85.0,Q1 Only
33243,WYNDHAM HOTELS & RESRTS,25.0,Consumer_Discretionary,0.08254300897067156,383.0,93.41463414634147,1.8251908170258395,7014.525000000001,90.51,0.78,579.0,0.017125179538172577,45.0,2483.0,48.0,4249.0,77.5,Q1 Only
11511,WILLIAMS-SONOMA INC,25.0,Consumer_Discretionary,0.08232179287697446,384.0,93.65853658536587,1.8251908170258395,26024.93125,211.37,3.33,2142.419,0.013436154610398824,234.18,1113.135,1212.977,5301.607,123.125,Q1 Only
37461,CODERE ONLINE LUXEMBOURG SA,25.0,Consumer_Discretionary,0.08161736607081684,385.0,93.90243902439023,1.8251908170258395,328.4105,7.25,-0.02,26.803999999999995,0.0,,,45.178,70.577,45.298,Q1 Only
45506,GROUPE DYNAMITE INC,25.0,Consumer_Discretionary,0.0810036278062318,386.0,94.14634146341463,1.8251908170258395,1744.5391499999998,16.15,0.29,141.31399999999996,0.0,42.999,340.102,74.195,618.637,108.021,Q1 Only
18498,MURPHY USA INC,25.0,Consumer_Discretionary,0.07750647812952335,387.0,94.39024390243902,1.8251908170258395,9284.38522,469.81,2.67,719.5999999999999,0.003959047274430088,40.1,2468.6,49.4,4502.5,19.762,Q1 Only
29736,TRACTOR SUPPLY CO,25.0,Consumer_Discretionary,0.07647552942941696,388.0,94.6341463414634,1.8251908170258395,29271.324,55.1,0.34,2238.539999999999,0.04809437386569874,406.447,5355.28,231.717,10385.317,531.24,Q1 Only
