gvkey,company_name,sector,sector_name,avg_MB,MB_sector_rank,MB_sector_percentile,sector_threshold_mb,market_cap,price,eps,data_source
38015,HELIOGEN INC,20.0,Industrials,-0.7095562048708849,1.0,0.1697792869269949,0.5246040370039342,5.168865,0.845,-1.03,Q1 Only
28724,BALLARD POWER SYSTEMS INC,20.0,Industrials,-0.2983356022257173,2.0,0.3395585738539898,0.5246040370039342,329.81630000000007,1.1,-0.07,Q1 Only
37651,SES AI CORPORATION,20.0,Industrials,-0.1315603019131844,3.0,0.5093378607809848,0.5246040370039342,189.9779157,0.5207,-0.04,Q1 Only
19977,ENERGOUS CORP,20.0,Industrials,0.0461122673245122,4.0,0.6791171477079796,0.5246040370039342,8.8338438,0.2727,-0.12,Q1 Only
25430,FUELCELL ENERGY INC,20.0,Industrials,0.0880553587464946,5.0,0.8488964346349746,0.5246040370039342,162.23232,7.68,-1.42,Q1 Only
170655,QXO INC,20.0,Industrials,0.0897697252364276,6.0,1.0186757215619695,0.5246040370039342,5543.6822,13.54,-0.03,Q1 Only
178403,SEANERGY MARITIME HOLDINGS C,20.0,Industrials,0.1648658949231294,7.0,1.1884550084889642,0.5246040370039342,130.3936,6.4,-0.34,Q1 Only
148772,CBAK ENERGY TECHNOLOGY INC,20.0,Industrials,0.1796451415086767,8.0,1.3582342954159592,0.5246040370039342,71.691174,0.7971,-0.02,Q1 Only
39751,FLUENCE ENERGY INC,20.0,Industrials,0.1978646334199386,9.0,1.5280135823429541,0.5246040370039342,632.6922,4.85,-0.24,Q1 Only
170758,CAESARSTONE LTD,20.0,Industrials,0.2021693271780039,10.0,1.697792869269949,0.5246040370039342,83.95407,2.43,-0.37,Q1 Only
30217,REKO INTERNATIONAL GROUP INC,20.0,Industrials,0.2254581927447919,11.0,1.8675721561969438,0.5246040370039342,21.13777,3.83,0.05,Q1 Only
28819,FUEL TECH INC,20.0,Industrials,0.2381864308805583,12.0,2.037351443123939,0.5246040370039342,32.30745,1.05,-0.02,Q1 Only
153128,HUDSON GLOBAL INC,20.0,Industrials,0.2479114411958258,13.0,2.2071307300509337,0.5246040370039342,29.35317,10.67,-0.59,Q1 Only
64061,FORRESTER RESEARCH INC,20.0,Industrials,0.2516636880806537,14.0,2.3769100169779285,0.5246040370039342,175.3752,9.24,-4.62,Q1 Only
6379,KELLY SERVICES INC  -CL A,20.0,Industrials,0.2701776561717214,15.0,2.5466893039049237,0.5246040370039342,463.58400000000006,13.17,0.16,Q1 Only
8486,TUTOR PERINI CORP,20.0,Industrials,0.274646092380887,16.0,2.7164685908319184,0.5246040370039342,1221.65554,23.18,0.53,Q1 Only
23195,MATRIX SERVICE CO,20.0,Industrials,0.2917962166389676,17.0,2.886247877758913,0.5246040370039342,343.15501,12.43,-0.12,Q1 Only
184049,BLINK CHARGING CO,20.0,Industrials,0.3143536558534845,18.0,3.0560271646859083,0.5246040370039342,94.2688971,0.9177,-0.2,Q1 Only
164190,AIR CANADA,20.0,Industrials,0.3194818209982789,19.0,3.225806451612903,0.5246040370039342,4573.04159,14.17,-0.31,Q1 Only
40132,SOUTHLAND HOLDINGS INC,20.0,Industrials,0.3210290299760002,20.0,3.395585738539898,0.5246040370039342,161.42113,2.99,-0.08,Q1 Only
22207,TRUEBLUE INC,20.0,Industrials,0.3618537527203305,21.0,3.5653650254668934,0.5246040370039342,158.41322999999997,5.31,-0.48,Q1 Only
175606,DANAOS CORPORATION,20.0,Industrials,0.3774187757879003,22.0,3.7351443123938877,0.5246040370039342,1449.32922,78.03,6.14,Q1 Only
351491,IVECO GROUP N V,20.0,Industrials,0.382246073911797,23.0,3.904923599320883,0.5246040370039342,4303.3575200000005,16.28,0.15,Q1 Only
19987,AECON GROUP INC,20.0,Industrials,0.3834790580917551,24.0,4.074702886247878,0.5246040370039342,1065.79704,16.94,-0.6,Q1 Only
28719,CONDUENT INC,20.0,Industrials,0.3870225118483412,25.0,4.244482173174872,0.5246040370039342,436.9410000000001,2.7,-0.33,Q1 Only
345920,HYDROFARM HLDNG GP INC,20.0,Industrials,0.3956387054659888,26.0,4.4142614601018675,0.5246040370039342,8.724239999999998,1.89,-3.12,Q1 Only
64835,RYANAIR HOLDINGS PLC,20.0,Industrials,0.4019756420882501,27.0,4.584040747028863,0.5246040370039342,9015.23438,42.37,-1.24,Q1 Only
160570,COMMERCIAL VEHICLE GROUP INC,20.0,Industrials,0.404337423152138,28.0,4.753820033955857,0.5246040370039342,36.157149999999994,1.15,-0.09,Q1 Only
37937,ENERGY VAULT HOLDINGS INC,20.0,Industrials,0.4061864239034956,29.0,4.923599320882852,0.5246040370039342,107.2605822,0.6954,-0.14,Q1 Only
6994,MANITOWOC CO,20.0,Industrials,0.4063132838190271,30.0,5.093378607809847,0.5246040370039342,304.45536999999996,8.59,-0.18,Q1 Only
20269,CALDWELL PARTNERS INTL INC,20.0,Industrials,0.4087059089295511,31.0,5.263157894736842,0.5246040370039342,26.89414,0.91,-0.007,Q1 Only
43645,ZKH GROUP LTD -ADR,20.0,Industrials,0.409604725701186,32.0,5.432937181663837,0.5246040370039342,542.38175,3.35,-0.06,Q1 Only
26434,PYXIS TANKERS INC,20.0,Industrials,0.4127978024071899,33.0,5.602716468590832,0.5246040370039342,35.547540000000005,3.39,0.07,Q1 Only
40672,KNIGHTSCOPE INC,20.0,Industrials,0.4161630325394163,34.0,5.772495755517826,0.5246040370039342,19.46082,2.82,-1.28,Q1 Only
28059,TRANSAT A T INC,20.0,Industrials,0.4193963337379862,35.0,5.942275042444821,0.5246040370039342,71.61807999999999,1.81,-3.1,Q1 Only
2999,CHICAGO RIVET & MACHINE CO,20.0,Industrials,0.4230709152091728,36.0,6.112054329371817,0.5246040370039342,10.51974,10.89,0.42,Q1 Only
5788,HURCO COS INC,20.0,Industrials,0.4273100601569005,37.0,6.281833616298811,0.5246040370039342,139.34116,21.49,-0.67,Q1 Only
38779,BLADE AIR MOBILITY INC,20.0,Industrials,0.4360926761125523,38.0,6.451612903225806,0.5246040370039342,221.05902,2.73,-0.04,Q1 Only
147305,JETBLUE AIRWAYS CORP,20.0,Industrials,0.4455832290509326,39.0,6.621392190152801,0.5246040370039342,1707.9188,4.82,-0.59,Q1 Only
4450,ESPEY MFG & ELECTRONICS CORP,20.0,Industrials,0.4481035145524435,40.0,6.791171477079796,0.5246040370039342,71.13485999999999,27.13,0.66,Q1 Only
39627,FGI INDUSTRIES LTD,20.0,Industrials,0.4556196152610207,41.0,6.960950764006792,0.5246040370039342,7.3976301,0.77139,-0.07,Q1 Only
277323,ZIM INTEGRATED SHIPPING SERV,20.0,Industrials,0.4632980516372686,42.0,7.130730050933787,0.5246040370039342,1757.48222,14.59,2.45,Q1 Only
174700,GLOBAL SHIP LEASE INC,20.0,Industrials,0.464615351471872,43.0,7.30050933786078,0.5246040370039342,813.57425,22.85,3.4,Q1 Only
37775,TELUS INTERNATIONAL IN,20.0,Industrials,0.4651141653735314,44.0,7.470288624787775,0.5246040370039342,745.13,2.69,-0.09,Q1 Only
10777,TWIN DISC INC,20.0,Industrials,0.4663405050438293,45.0,7.6400679117147705,0.5246040370039342,107.10036,7.57,-0.11,Q1 Only
14370,MANPOWERGROUP,20.0,Industrials,0.468654810132882,46.0,7.809847198641766,0.5246040370039342,2692.17244,57.88,0.12,Q1 Only
175007,ALLEGIANT TRAVEL CO,20.0,Industrials,0.4744811563942234,47.0,7.979626485568761,0.5246040370039342,943.18065,51.65,1.74,Q1 Only
18582,GOODFELLOW INC,20.0,Industrials,0.4883097487346619,48.0,8.149405772495756,0.5246040370039342,102.01464,12.11,-0.27,Q1 Only
7658,NL INDUSTRIES,20.0,Industrials,0.4920017306860247,49.0,8.31918505942275,0.5246040370039342,385.8992,7.9,0.01,Q1 Only
1230,ALASKA AIR GROUP INC,20.0,Industrials,0.4961348117872641,50.0,8.488964346349745,0.5246040370039342,6048.3997,49.22,-1.35,Q1 Only
125604,PLUG POWER INC,20.0,Industrials,0.4993248483654181,51.0,8.65874363327674,0.5246040370039342,1319.4279,1.35,-0.21,Q1 Only
161813,BLUELINX HOLDINGS INC,20.0,Industrials,0.5011090500590767,52.0,8.828522920203735,0.5246040370039342,608.8376,74.98,0.33,Q1 Only
185770,COSTAMARE INC,20.0,Industrials,0.5053159613948255,53.0,8.998302207130731,0.5246040370039342,1181.89224,9.84,0.79,Q1 Only
110802,AVALON HOLDINGS CORP,20.0,Industrials,0.5080622154260478,54.0,9.168081494057725,0.5246040370039342,11.076,2.84,-0.38,Q1 Only
38673,FTC SOLAR INC,20.0,Industrials,0.5083470337017165,55.0,9.337860780984721,0.5246040370039342,37.50516,2.87,-0.3,Q1 Only
40340,BROOKFIELD BUSINESS CORP,20.0,Industrials,0.5116583387740298,56.0,9.507640067911714,0.5246040370039342,1908.49428,26.62,-0.78,Q1 Only
178877,NAVIOS MARITIME PARTNERS LP,20.0,Industrials,0.5138819355474524,57.0,9.67741935483871,0.5246040370039342,1147.9694,39.22,1.38,Q1 Only
141359,RESOURCES CONNECTION INC,20.0,Industrials,0.5186031813643928,58.0,9.847198641765704,0.5246040370039342,240.74232000000003,7.28,-1.34,Q1 Only
