gvkey,company_name,sector,sector_name,avg_MB,MB_sector_rank,MB_sector_percentile,sector_threshold_mb,market_cap,price,eps,book_equity,dividend_yield_ttm,dlcq,dlttq,cheq,atq,cshoq,data_source
4409,ENZON PHARMACEUTICALS INC,35.0,Health_Care,-0.8200940873443027,1.0,0.12658227848101267,-0.23210794489205616,7.63449705,0.10287,-0.01,1.9529999999999959,0.0,0.0,0.0,44.966,45.521,74.215,Q1 Only
27939,TENAX THERAPEUTICS INC,35.0,Health_Care,-0.7624867257426892,2.0,0.25316455696202533,-0.23210794489205616,26.0035,6.55,-0.28,109.291,0.0,0.0,0.0,111.447,112.059,3.97,Q1 Only
19771,GALMED PHARMACEUTICALS LTD,35.0,Health_Care,-0.6743459644615715,3.0,0.37974683544303794,-0.23210794489205616,3.2515199999999997,1.44,-0.62,16.877,0.0,0.0,0.0,15.851,18.684,2.258,Q1 Only
32347,MUSTANG BIO INC,35.0,Health_Care,-0.6717251324703198,4.0,0.5063291139240507,-0.23210794489205616,4.2162500000000005,1.25,-0.05,3.609,0.0,0.0,0.0,14.231,14.909,3.373,Q1 Only
20720,RELMADA THERAPEUTICS INC,35.0,Health_Care,-0.6538950106578995,5.0,0.6329113924050633,-0.23210794489205616,8.96184,0.27,-0.58,22.44,0.0,0.0,0.0,27.061,27.679,33.192,Q1 Only
39527,WHITEHAWK THERAPEUTICS INC,35.0,Health_Care,-0.6315531491183837,6.0,0.7594936708860759,-0.23210794489205616,83.2773,1.78,1.84,221.728,0.0,0.0,0.0,231.062,234.002,46.785,Q1 Only
37036,PMV PHARMACEUTICALS INC,35.0,Health_Care,-0.6016842117602926,7.0,0.8860759493670887,-0.23210794489205616,56.62986000000001,1.09,-0.34,160.107,0.0,0.364,0.742,160.388,170.608,51.954,Q1 Only
43843,KYVERNA THERAPEUTICS INC,35.0,Health_Care,-0.5842908442193706,8.0,1.0126582278481013,-0.23210794489205616,83.41267,1.93,-1.03,224.01,0.0,3.585,3.353,242.649,260.655,43.219,Q1 Only
33721,ALLAKOS INC,35.0,Health_Care,-0.5822016088672434,9.0,1.139240506329114,-0.23210794489205616,20.569805199999998,0.2276,-0.29,55.464,0.0,0.0,0.0,55.237,59.545,90.377,Q1 Only
38422,CONNECT BIO HLD LTD - ADS,35.0,Health_Care,-0.5676366186545827,10.0,1.2658227848101267,-0.23210794489205616,30.4436,0.55,-0.19,82.899,0.0,0.346,0.594,83.995,92.685,55.352,Q1 Only
